"Time (s), Position (m)"
0,0.1891999989748001
0.05,0.1981000006198883
0.1,0.2078000009059906
0.15,0.21979999542236328
0.2,0.23260000348091125
0.25,0.24879999458789825
0.3,0.2639000117778778
0.35,0.28119999170303345
0.4,0.29980000853538513
0.45,0.3208000063896179
0.5,0.3431999981403351
0.55,0.36660000681877136
0.6,0.3910999894142151
0.65,0.41760000586509705
0.7,0.4456000030040741
0.75,0.4742000102996826
0.8,0.5044999718666077
0.85,0.5364999771118164
0.9,0.5706999897956848
0.95,0.6043999791145325
1.0,0.640999972820282
1.05,0.6789000034332275
1.1,0.7178000211715698
1.15,0.7580999732017517
1.2,0.8001999855041504
1.25,0.843999981880188
1.3,0.8891000151634216
1.35,0.9348999857902527
